nom,ville,code_postal,dept_code,latitude,longitude
Dr Adrien Pontarollo,,,,45.1923375,5.7183382
Fernandez - Psychiatre,,,,43.8931977,-0.4963143
Bachelet,,,,43.8952033,-0.50306
Psychiatre,,45000,45,47.9010046,1.9081108
Psychiatre,,,,48.8004181,2.4776683
Psychiatre,,,,48.8441292,2.2796037
Vedrenne,,,,43.8964232,-0.5049925
Dr Ayraud,,,,47.219403,-1.5519615
Psychiatre,Angers,49000,49,47.4552573,-0.5538634
Docteur Jean-Luc Dumezy,,,,47.2227104,-1.5500813
Mme Wioletta de Charry,,,,48.846317,2.2859571
Centre médico-psychologique,Saint-Chamond,42400,42,45.4751426,4.5071535
Daniel Chabas,Puteaux,92800,92,48.8840545,2.2426864
Jean-Paul Zerath,Puteaux,92800,92,48.8840603,2.2427016
François-Régis Cousin,Puteaux,92800,92,48.8840536,2.2426711
Camelia Stanescu,Puteaux,92800,92,48.8840432,2.2426792
Jacques Sudaka,,,,48.6969203,2.1854015
Christophe Auguste,,,,49.4429967,1.0968975
Centre Médico Psycho Pédagogique,,,,48.7108514,2.2455482
Psychiatre,,,,48.1171411,-1.6744034
Dominique Juhel,Rennes,35000,35,48.11725,-1.6769548
Psychiatre,,,,48.8292813,2.3639913
cabinet de psychologie,,,,45.7199406,4.798947
Docteur Michel Lambotin,,,,43.7088914,7.2603626
Docteur Philippe Gérin,,,,48.7939839,2.3343192
Cabinet Psychiatrie,,,,48.0985036,-0.7805781
Docteur Tabusse,La Seyne-sur-Mer,83500,83,43.1078397,5.8541972
Jacques Garcia,,,,43.2998637,-0.3613704
Myriam Auque,,,,48.6814456,6.1671148
Docteur Éric Auboin,Vienne,38200,38,45.5230047,4.8703533
Docteur Colette Lavenir,,38200,38,45.5242283,4.8740846
Delouvroy - Akalay Dalila,,,,42.6911846,2.9371085
Marc Vallier,,,,48.8616418,2.3523302
Dr Nunu Raoul,,,,48.7071799,2.0756425
Dr Malika Birig,,,,43.9306044,4.8809198
Dr Isabelle SERY,,,,44.7928773,-0.6814542
LAMOINE Angélique,Montanay,,,45.8818183,4.872126
Centre Médico-Psychologique,,,,48.3432087,-0.2748988
Service Médico-Psycho-Pédagogique,,,,48.4197547,0.0906333
Dr. Dominique Pablo,,,,48.6655355,6.1686347
Docteur Frank Exbrayat,Vienne,38200,38,45.5207625,4.8733031
Psychiatre,,,,42.701246,2.8948881
Leïla Bouchentouf-Lavoine,,,,48.8652686,2.3659048
MyPsy,,,,43.1245738,5.9316128
Docteur Alexandre Besset,,,,43.1264284,5.9289258
Dr Andria Kastler,,,,45.1923581,5.7183323
Docteur Gwendoline Baudry,,,,48.3268297,4.0860022
Antoine Guérin,,,,46.1603522,-1.1539412
Martine Linarès,,,,46.158768,-1.1551599
Centre médico-psycho-pédagogique,,,,48.3513772,0.3689734
Docteur Claire CASSAGNE,,,,43.1207149,5.9321689
Docteur Bernard HENRY,,,,43.1207105,5.9321798
Psychiatre,,,,47.5545698,-0.8078994
Jonathan BOUHAN,Besançon,25000,25,47.2506594,6.0329563
Coline Auger,,,,46.1582457,-1.1545104
Dr Claude Virot,,,,48.1048587,-1.6666808
Aloīsse Stryjakowski Moussard,,,,43.9453636,4.8139929
Eveline Fauconnet,,,,48.1084117,-1.6831689
Arnaud Guibert,,,,43.2960069,-0.3530299
Claude-Jérôme Rezaï,,,,43.2943785,-0.3650513
Jean-Jacques Pinoteau,,,,43.3029999,-0.3953441
Francis Lavergne,,,,43.1928702,-0.6053357
Laurent Charat,,,,44.8637293,-0.5172643
Thierry Lapedagne,,,,43.2961521,-0.3822536
Bernard Lavantes,,,,43.3193106,-0.3445372
Psychiatre,,,,43.6130688,1.3375538
Rose Oudot,,,,47.3836895,0.6884796
Eléonore Jarrige,,,,47.3836403,0.688447
Heng Vimol,,,,47.384159,0.6900785
Emmanuelle Doineau,Tours,37000,37,47.3859902,0.6853681
Diane Bikok,Tours,37000,37,47.3860134,0.685373
Emilie Robardet,,,,47.3859986,0.6853614
Fabienne Simon - Psychologue,Vincennes,93400,93,48.8453044,2.4289003
J. Walkowicz-Voineau,,,,47.4606458,-0.5524493
Dr Chantal Woloszko,,,,49.1105932,6.1755623
Psychiatre,,,,43.6559686,1.3723525
Marc Biondo,,,,43.1733065,5.7708518
Isabelle FABRE,,,,43.5965825,1.4457752
Suzanne Ridgeway,,,,48.8436167,2.3539682
Flavia Dalfovo Rolland,Aix-en-Provence,13100,13,43.5303156,5.4501202
Dr. Serge Mori,,,,43.5299939,5.4497017
Christine Coëffin,,,,47.4658035,-0.5572329
Psychiatre,,,,47.9889789,-4.1123674
